season,round,raceName,circuitName,country,date,lat,long,precipitation_mm,temp_max_c,wind_max_kmh
2020,1,Austrian Grand Prix,Red Bull Ring,Austria,2020-07-05,47.2197,14.7647,0.0,26.6,8.9
2020,2,Styrian Grand Prix,Red Bull Ring,Austria,2020-07-12,47.2197,14.7647,0.0,19.6,11.5
2020,3,Hungarian Grand Prix,Hungaroring,Hungary,2020-07-19,47.5789,19.2486,6.6,21.5,15.8
2020,4,British Grand Prix,Silverstone Circuit,UK,2020-08-02,52.0786,-1.01694,0.0,21.0,18.0
2020,5,70th Anniversary Grand Prix,Silverstone Circuit,UK,2020-08-09,52.0786,-1.01694,0.0,27.7,22.7
2020,6,Spanish Grand Prix,Circuit de Barcelona-Catalunya,Spain,2020-08-16,41.57,2.26111,2.6,27.6,14.7
2020,7,Belgian Grand Prix,Circuit de Spa-Francorchamps,Belgium,2020-08-30,50.4372,5.97139,8.0,17.0,17.2
2020,8,Italian Grand Prix,Autodromo Nazionale di Monza,Italy,2020-09-06,45.6156,9.28111,4.8,26.0,14.1
2020,9,Tuscan Grand Prix,Autodromo Internazionale del Mugello,Italy,2020-09-13,43.9975,11.3719,0.0,30.1,15.5
2020,10,Russian Grand Prix,Sochi Autodrom,Russia,2020-09-27,43.4057,39.9578,0.0,29.4,10.9
2020,11,Eifel Grand Prix,Nürburgring,Germany,2020-10-11,50.3356,6.9475,0.2,8.7,17.8
2020,12,Portuguese Grand Prix,Autódromo Internacional do Algarve,Portugal,2020-10-25,37.227,-8.6267,3.5,20.1,27.1
2020,13,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Italy,2020-11-01,44.3439,11.7167,0.0,18.5,10.7
2020,14,Turkish Grand Prix,Istanbul Park,Turkey,2020-11-15,40.9517,29.405,0.5,13.0,12.4
2020,15,Bahrain Grand Prix,Bahrain International Circuit,Bahrain,2020-11-29,26.0325,50.5106,0.2,27.9,28.0
2020,16,Sakhir Grand Prix,Bahrain International Circuit,Bahrain,2020-12-06,26.0325,50.5106,0.0,26.4,30.8
2020,17,Abu Dhabi Grand Prix,Yas Marina Circuit,UAE,2020-12-13,24.4672,54.6031,0.0,23.9,19.9
2021,1,Bahrain Grand Prix,Bahrain International Circuit,Bahrain,2021-03-28,26.0325,50.5106,0.0,23.6,43.3
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Italy,2021-04-18,44.3439,11.7167,0.7,13.0,15.6
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,Portugal,2021-05-02,37.227,-8.6267,0.0,19.3,24.4
2021,4,Spanish Grand Prix,Circuit de Barcelona-Catalunya,Spain,2021-05-09,41.57,2.26111,1.3,21.8,19.8
2021,5,Monaco Grand Prix,Circuit de Monaco,Monaco,2021-05-23,43.7347,7.42056,0.0,23.1,20.6
2021,6,Azerbaijan Grand Prix,Baku City Circuit,Azerbaijan,2021-06-06,40.3725,49.8533,0.0,24.2,32.7
2021,7,French Grand Prix,Circuit Paul Ricard,France,2021-06-20,43.2506,5.79167,1.7,29.0,29.7
2021,8,Styrian Grand Prix,Red Bull Ring,Austria,2021-06-27,47.2197,14.7647,4.9,26.9,8.8
2021,9,Austrian Grand Prix,Red Bull Ring,Austria,2021-07-04,47.2197,14.7647,2.0,23.5,9.9
2021,10,British Grand Prix,Silverstone Circuit,UK,2021-07-18,52.0786,-1.01694,0.0,28.2,9.4
2021,11,Hungarian Grand Prix,Hungaroring,Hungary,2021-08-01,47.5789,19.2486,0.6,32.3,25.2
2021,12,Belgian Grand Prix,Circuit de Spa-Francorchamps,Belgium,2021-08-29,50.4372,5.97139,6.8,14.3,28.4
2021,13,Dutch Grand Prix,Circuit Park Zandvoort,Netherlands,2021-09-05,52.3888,4.54092,0.0,21.5,15.3
2021,14,Italian Grand Prix,Autodromo Nazionale di Monza,Italy,2021-09-12,45.6156,9.28111,0.0,28.7,8.0
2021,15,Russian Grand Prix,Sochi Autodrom,Russia,2021-09-26,43.4057,39.9578,1.6,17.7,14.2
2021,16,Turkish Grand Prix,Istanbul Park,Turkey,2021-10-10,40.9517,29.405,0.4,18.3,24.7
2021,17,United States Grand Prix,Circuit of the Americas,USA,2021-10-24,30.1328,-97.6411,0.7,29.9,19.4
2021,18,Mexico City Grand Prix,Autódromo Hermanos Rodríguez,Mexico,2021-11-07,19.4042,-99.0907,0.0,23.1,25.3
2021,19,São Paulo Grand Prix,Autódromo José Carlos Pace,Brazil,2021-11-14,-23.7036,-46.6997,0.0,23.4,30.7
2021,20,Qatar Grand Prix,Losail International Circuit,Qatar,2021-11-21,25.49,51.4542,0.0,29.0,23.3
2021,21,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,Saudi Arabia,2021-12-05,21.6319,39.1044,0.0,30.7,18.6
2021,22,Abu Dhabi Grand Prix,Yas Marina Circuit,UAE,2021-12-12,24.4672,54.6031,0.0,25.9,18.6
2022,1,Bahrain Grand Prix,Bahrain International Circuit,Bahrain,2022-03-20,26.0325,50.5106,0.0,28.5,26.0
2022,2,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,Saudi Arabia,2022-03-27,21.6319,39.1044,0.0,31.3,26.1
2022,3,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,2022-04-10,-37.8497,144.968,0.0,26.5,27.7
2022,4,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Italy,2022-04-24,44.3439,11.7167,3.3,15.5,34.9
2022,5,Miami Grand Prix,Miami International Autodrome,USA,2022-05-08,25.9581,-80.2389,2.0,33.1,13.2
2022,6,Spanish Grand Prix,Circuit de Barcelona-Catalunya,Spain,2022-05-22,41.57,2.26111,0.0,34.8,23.6
2022,7,Monaco Grand Prix,Circuit de Monaco,Monaco,2022-05-29,43.7347,7.42056,3.4,25.1,16.9
2022,8,Azerbaijan Grand Prix,Baku City Circuit,Azerbaijan,2022-06-12,40.3725,49.8533,0.0,26.7,21.1
2022,9,Canadian Grand Prix,Circuit Gilles Villeneuve,Canada,2022-06-19,45.5,-73.5228,0.0,20.9,26.2
2022,10,British Grand Prix,Silverstone Circuit,UK,2022-07-03,52.0786,-1.01694,0.9,19.0,16.6
2022,11,Austrian Grand Prix,Red Bull Ring,Austria,2022-07-10,47.2197,14.7647,3.9,20.4,17.3
2022,12,French Grand Prix,Circuit Paul Ricard,France,2022-07-24,43.2506,5.79167,0.0,33.2,14.7
2022,13,Hungarian Grand Prix,Hungaroring,Hungary,2022-07-31,47.5789,19.2486,7.9,21.0,29.5
2022,14,Belgian Grand Prix,Circuit de Spa-Francorchamps,Belgium,2022-08-28,50.4372,5.97139,0.2,20.8,16.4
2022,15,Dutch Grand Prix,Circuit Park Zandvoort,Netherlands,2022-09-04,52.3888,4.54092,1.8,23.9,15.8
2022,16,Italian Grand Prix,Autodromo Nazionale di Monza,Italy,2022-09-11,45.6156,9.28111,0.0,25.8,10.4
2022,17,Singapore Grand Prix,Marina Bay Street Circuit,Singapore,2022-10-02,1.2914,103.864,17.0,28.5,12.8
2022,18,Japanese Grand Prix,Suzuka Circuit,Japan,2022-10-09,34.8431,136.541,18.1,19.9,19.9
2022,19,United States Grand Prix,Circuit of the Americas,USA,2022-10-23,30.1328,-97.6411,0.6,30.2,34.4
2022,20,Mexico City Grand Prix,Autódromo Hermanos Rodríguez,Mexico,2022-10-30,19.4042,-99.0907,0.9,24.0,22.4
2022,21,São Paulo Grand Prix,Autódromo José Carlos Pace,Brazil,2022-11-13,-23.7036,-46.6997,0.4,28.0,24.2
2022,22,Abu Dhabi Grand Prix,Yas Marina Circuit,UAE,2022-11-20,24.4672,54.6031,0.0,30.4,27.3
2023,1,Bahrain Grand Prix,Bahrain International Circuit,Bahrain,2023-03-05,26.0325,50.5106,0.0,32.2,17.3
2023,2,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,Saudi Arabia,2023-03-19,21.6319,39.1044,0.0,30.6,27.9
2023,3,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,2023-04-02,-37.8497,144.968,0.0,17.8,17.9
2023,4,Azerbaijan Grand Prix,Baku City Circuit,Azerbaijan,2023-04-30,40.3725,49.8533,0.2,26.3,25.0
2023,5,Miami Grand Prix,Miami International Autodrome,USA,2023-05-07,25.9581,-80.2389,1.9,26.9,25.6
2023,6,Monaco Grand Prix,Circuit de Monaco,Monaco,2023-05-28,43.7347,7.42056,6.9,24.4,11.4
2023,7,Spanish Grand Prix,Circuit de Barcelona-Catalunya,Spain,2023-06-04,41.57,2.26111,10.8,22.5,12.0
2023,8,Canadian Grand Prix,Circuit Gilles Villeneuve,Canada,2023-06-18,45.5,-73.5228,0.3,19.6,22.1
2023,9,Austrian Grand Prix,Red Bull Ring,Austria,2023-07-02,47.2197,14.7647,0.3,24.0,11.6
2023,10,British Grand Prix,Silverstone Circuit,UK,2023-07-09,52.0786,-1.01694,0.3,22.0,22.7
2023,11,Hungarian Grand Prix,Hungaroring,Hungary,2023-07-23,47.5789,19.2486,0.0,29.0,16.4
2023,12,Belgian Grand Prix,Circuit de Spa-Francorchamps,Belgium,2023-07-30,50.4372,5.97139,2.5,17.8,29.1
2023,13,Dutch Grand Prix,Circuit Park Zandvoort,Netherlands,2023-08-27,52.3888,4.54092,3.4,17.4,29.7
2023,14,Italian Grand Prix,Autodromo Nazionale di Monza,Italy,2023-09-03,45.6156,9.28111,0.0,27.9,10.7
2023,15,Singapore Grand Prix,Marina Bay Street Circuit,Singapore,2023-09-17,1.2914,103.864,2.7,30.6,15.4
2023,16,Japanese Grand Prix,Suzuka Circuit,Japan,2023-09-24,34.8431,136.541,0.0,26.7,21.4
2023,17,Qatar Grand Prix,Losail International Circuit,Qatar,2023-10-08,25.49,51.4542,0.0,40.5,26.0
2023,18,United States Grand Prix,Circuit of the Americas,USA,2023-10-22,30.1328,-97.6411,0.2,31.2,21.8
2023,19,Mexico City Grand Prix,Autódromo Hermanos Rodríguez,Mexico,2023-10-29,19.4042,-99.0907,0.0,25.2,18.2
2023,20,São Paulo Grand Prix,Autódromo José Carlos Pace,Brazil,2023-11-05,-23.7036,-46.6997,0.3,21.1,21.2
2023,21,Las Vegas Grand Prix,Las Vegas Strip Street Circuit,USA,2023-11-19,36.1147,-115.173,0.0,17.8,51.1
2023,22,Abu Dhabi Grand Prix,Yas Marina Circuit,UAE,2023-11-26,24.4672,54.6031,0.0,29.1,21.2
2024,1,Bahrain Grand Prix,Bahrain International Circuit,Bahrain,2024-03-02,26.0325,50.5106,0.0,21.2,14.8
2024,2,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,Saudi Arabia,2024-03-09,21.6319,39.1044,0.0,29.2,28.6
2024,3,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,2024-03-24,-37.8497,144.968,0.0,21.4,20.4
2024,4,Japanese Grand Prix,Suzuka Circuit,Japan,2024-04-07,34.8431,136.541,0.0,21.2,12.3
2024,5,Chinese Grand Prix,Shanghai International Circuit,China,2024-04-21,31.3389,121.22,4.6,20.2,11.3
2024,6,Miami Grand Prix,Miami International Autodrome,USA,2024-05-05,25.9581,-80.2389,0.3,28.8,21.1
